parcode,trial,rt,choice,item_left,item_right,valid
3,23,3029,-1,0.35,1.55,
3,24,3476,-1,0.65,1.7,
3,25,2531,1,0.95,0,
3,26,4449,-1,0.8,0.95,
3,27,2778,1,1.4,0,
3,28,3198,1,1.25,0,
3,29,2604,1,0.95,0,
3,30,1736,-1,0,1.55,
3,31,1528,-1,0,1.1,
3,32,7987,-1,0,0,
3,33,1808,-1,0.05,0.65,
3,34,7586,1,0.95,0.95,
3,35,2152,1,0.95,0,
3,36,5162,1,0.95,1.25,
3,37,4705,1,0.95,0.05,
3,38,8093,-1,0.95,2.3,
3,39,8516,-1,0.35,0.8,
3,40,3916,-1,0,0,
3,41,2427,-1,2.45,0.65,
3,42,3746,1,0.05,0.35,
3,43,3621,-1,1.1,0.35,
3,44,2167,1,1.55,0.95,
3,45,2378,-1,2.45,1.55,
3,46,3483,-1,1.1,0.65,
3,47,2759,1,0,0.95,
3,48,11236,1,0.05,0.65,
3,49,2620,1,0.05,0.95,
3,50,5035,-1,0.95,1.1,
3,51,6939,-1,1.4,1.25,
3,52,2210,1,0,0.95,
3,53,1773,1,0.05,1.4,
3,54,1790,1,0,0.65,
3,55,4010,1,1.55,0.2,
3,56,2599,1,0,1.25,
3,57,8879,-1,2.45,0.65,
3,58,2397,-1,1.4,0.65,
3,59,2316,-1,0.65,0.05,
