parcode,trial,rt_mili,choice,item_left,item_right,subjidx,rt,response
4,68,2497,1,0.8,0.05,4,2.497,1
4,69,1481,1,0.8,0,4,1.481,1
4,70,2890,-1,0.35,0,4,2.89,0
4,71,1645,-1,0.05,1.1,4,1.645,1
4,72,1103,1,0.2,0.05,4,1.103,1
4,73,2478,1,0,0,4,2.478,1
4,74,1333,-1,0.05,0.95,4,1.333,1
4,75,1416,1,0.05,0,4,1.416,1
4,76,1183,-1,0,0.5,4,1.183,1
4,77,2441,-1,0,0,4,2.441,1
4,78,1500,-1,0,0.2,4,1.5,1
4,79,1450,-1,0,0.8,4,1.45,1
4,80,1562,-1,0,0.6,4,1.562,1
4,81,1767,-1,0,0,4,1.767,1
4,82,888,-1,0.05,0.8,4,0.888,1
4,83,1439,1,0.2,0.05,4,1.439,1
4,84,1676,1,0.65,0,4,1.676,1
4,85,1546,-1,0.35,0.6,4,1.546,1
4,86,1249,1,1.1,0,4,1.249,1
4,87,1145,1,0.95,0,4,1.145,1
4,88,1512,1,0,0.35,4,1.512,0
4,89,1367,-1,0,0.8,4,1.367,1
4,90,1522,1,0.95,0.05,4,1.522,1
4,91,1074,1,0,0,4,1.074,1
4,92,934,1,1.1,0.5,4,0.934,1
4,93,1556,-1,0,0.5,4,1.556,1
4,94,1114,-1,0,0.8,4,1.114,1
4,95,1621,-1,0,0.35,4,1.621,1
4,96,2184,-1,0,0,4,2.184,1
4,97,1325,1,0.5,0,4,1.325,1
4,98,1246,-1,0,0,4,1.246,1
4,99,1597,-1,0,0.05,4,1.597,1
4,100,2734,1,0.8,0.8,4,2.734,1
4,101,1054,-1,0,0.65,4,1.054,1
4,102,4260,1,0.2,0,4,4.26,1
4,103,1232,-1,0,0,4,1.232,1
4,104,1732,-1,0,0,4,1.732,1
4,105,843,-1,0,1.1,4,0.843,1
4,106,1250,1,0,0.05,4,1.25,0
4,107,1576,1,0.05,0,4,1.576,1
4,108,1219,-1,0.65,0.8,4,1.219,1
4,109,1461,-1,0,0,4,1.461,1
4,110,2581,-1,0,0.05,4,2.581,1
4,111,985,1,0.95,0,4,0.985,1
4,112,961,1,0.8,0,4,0.961,1
4,113,978,1,0.8,0,4,0.978,1
4,114,4419,-1,0,0,4,4.419,1
4,115,1302,-1,0,0,4,1.302,1
4,116,1153,1,0,0,4,1.153,1
4,117,1033,-1,0.05,0.65,4,1.033,1
4,118,957,1,0.95,0.5,4,0.957,1
4,119,1271,1,0,0,4,1.271,1
5,0,4573,-1,0.5,0.65,5,4.573,1
5,1,3339,-1,0.5,0.8,5,3.339,1
5,2,5410,1,1.4,0,5,5.41,1
5,3,10236,1,0.65,0.8,5,10.236,0
5,4,5784,-1,0.5,0.65,5,5.784,1
5,5,3272,1,1.1,0.5,5,3.272,1
5,6,2593,1,0.8,0.65,5,2.593,1
5,7,4628,1,1.1,0.65,5,4.628,1
5,8,2522,1,0.65,0,5,2.522,1
5,9,9605,-1,0.65,0.8,5,9.605,1
5,10,1583,1,0.2,0.95,5,1.583,0
5,11,5220,-1,0.8,1.1,5,5.22,1
5,12,7521,1,0.65,0.65,5,7.521,1
5,13,2083,-1,0,0.5,5,2.083,1
5,14,3647,-1,0.95,0.8,5,3.647,0
5,15,2790,-1,0,0.5,5,2.79,1
5,16,4538,-1,0.95,1.1,5,4.538,1
5,17,2889,-1,0.35,0.95,5,2.889,1
5,18,4539,1,0.2,0.8,5,4.539,0
5,19,2411,1,0.8,0.8,5,2.411,1
5,20,1791,-1,0.35,0.65,5,1.791,1
5,21,11451,-1,0.95,0.65,5,11.451,0
5,22,12467,-1,0.65,0.95,5,12.467,1
5,23,3323,-1,0.5,0.5,5,3.323,1
5,24,3139,-1,0.95,0.5,5,3.139,0
5,25,6585,-1,0.8,1.1,5,6.585,1
5,26,2175,1,0.95,0.35,5,2.175,1
5,27,9514,1,0.65,1.1,5,9.514,0
5,28,2883,1,1.25,1.1,5,2.883,1
5,29,6008,1,1.1,0.8,5,6.008,1
5,30,2064,1,1.1,0.2,5,2.064,1
5,31,2596,-1,0.95,0.65,5,2.596,0
5,32,7987,-1,0.95,0.95,5,7.987,1
5,33,3846,-1,0.8,0.95,5,3.846,1
5,34,4457,-1,0.35,0.95,5,4.457,1
5,35,2606,-1,0.5,0.8,5,2.606,1
5,36,2338,-1,0.5,0.65,5,2.338,1
5,37,9804,-1,0.65,0.8,5,9.804,1
5,38,4005,1,1.4,0.95,5,4.005,1
5,39,4239,1,0.8,0.5,5,4.239,1
5,40,2777,1,0.5,0,5,2.777,1
5,41,1763,-1,0,1.1,5,1.763,1
5,42,2346,-1,0.65,0.8,5,2.346,1
5,43,1407,1,0.65,0.5,5,1.407,1
5,44,1645,1,1.25,0.8,5,1.645,1
5,45,2029,1,0.65,0.5,5,2.029,1
5,46,1395,1,0.5,0,5,1.395,1
5,47,1998,-1,0.65,1.1,5,1.998,1
5,48,2131,1,0.8,0.65,5,2.131,1
5,49,2170,-1,0.35,0.65,5,2.17,1
5,50,2591,-1,0.95,0.95,5,2.591,1
5,51,2569,-1,0.2,1.1,5,2.569,1
5,52,2201,1,0.8,0.95,5,2.201,0
5,53,3203,-1,0.2,0.35,5,3.203,1
5,54,1679,1,0.8,0.95,5,1.679,0
5,55,11481,-1,0.8,0.65,5,11.481,0
5,56,2299,-1,0.95,0.65,5,2.299,0
5,57,4372,-1,0.35,1.1,5,4.372,1
5,58,3020,1,1.1,0.5,5,3.02,1
5,59,2617,-1,0.8,0.8,5,2.617,1
5,60,2997,1,0.95,0.8,5,2.997,1
5,61,3094,1,0.95,0.35,5,3.094,1
5,62,1646,1,1.1,0.95,5,1.646,1
