Part,Trial,1stFixation,1stFixationTime,LastFixation,LastFixationTime,firstFixValue,firstFixFam,lastFixValue,lastFixFam,fixatNum,middleFixNum,mostPopularFix,numMostPopularFix,mostPopularFixMed,numMostPopularFixMed,middleFixTime,middleFixTimeAvg,TotalTime
0,179,2,296,1,69,2.0,4.75,1.1,4.08,8,6,1,5,1.0,4.0,2006,334.3333333333333,2371
0,180,2,247,1,413,1.85,5.0,1.1,0.83,8,6,2,4,2.0,4.0,1822,303.6666666666667,2482
0,181,1,168,1,743,0.95,4.58,0.95,4.58,9,7,1,4,2.0,4.0,1836,262.2857142857143,2747
0,182,1,366,2,156,2.0,5.0,1.55,4.33,10,8,2,5,1.0,4.0,2396,299.5,2918
0,183,2,445,2,293,1.85,2.58,1.85,2.58,11,9,2,6,2.0,5.0,2968,329.77777777777777,3706
0,184,1,330,2,192,2.0,4.83,1.1,5.0,13,11,1,6,1.0,6.0,3103,282.09090909090907,3625
0,185,2,441,1,93,0.95,3.83,0.8,4.33,14,12,2,7,2.0,7.0,3404,283.6666666666667,3938
0,186,2,359,1,258,0.95,1.08,0.65,0.33,8,6,2,4,2.0,4.0,1712,285.3333333333333,2329
0,187,1,304,1,50,1.25,2.83,1.25,2.83,8,6,1,4,1.0,3.0,1674,279.0,2028
0,188,1,314,2,340,1.85,5.0,0.35,4.33,6,4,2,3,1.0,2.0,1011,252.75,1665
0,189,1,320,2,325,2.3,5.0,0.95,4.58,5,3,1,2,1.0,2.0,935,311.6666666666667,1580
0,190,1,195,1,232,1.7,3.58,1.7,3.58,13,11,1,6,2.0,6.0,3762,342.0,4189
0,191,1,370,2,92,1.7,4.33,1.85,5.0,8,6,1,4,1.0,4.0,2164,360.6666666666667,2626
0,192,2,428,2,173,1.25,0.08,1.25,0.08,11,9,1,5,1.0,5.0,3182,353.55555555555554,3783
0,193,1,368,2,105,1.55,2.58,2.0,4.83,9,7,1,4,1.0,4.0,2447,349.57142857142856,2920
0,194,1,398,2,590,1.25,3.08,1.1,4.75,12,10,2,6,1.0,5.0,3855,385.5,4843
0,195,2,224,1,225,1.7,4.58,1.4,3.08,19,17,2,10,2.0,10.0,4826,283.88235294117646,5275
0,196,1,240,2,41,1.1,0.83,1.4,3.08,16,14,2,8,1.0,7.0,5349,382.07142857142856,5630
0,197,1,184,1,505,2.0,5.0,2.0,5.0,7,5,1,3,2.0,3.0,1182,236.4,1871
0,198,1,290,2,187,1.85,2.58,1.25,3.08,12,10,1,6,1.0,6.0,3696,369.6,4173
0,199,1,276,2,277,1.55,3.83,1.85,5.0,10,8,1,5,1.0,5.0,2275,284.375,2828
0,200,2,241,1,65,1.1,4.33,1.85,4.83,9,7,1,4,2.0,4.0,1860,265.7142857142857,2166
0,201,0,216,1,342,,,2.0,5.0,8,6,1,3,2.0,3.0,1705,284.1666666666667,2263
0,202,1,384,2,406,0.8,4.33,1.55,4.33,5,3,1,2,1.0,2.0,701,233.66666666666666,1491
0,203,2,263,1,44,1.25,4.58,1.1,4.33,7,5,1,4,1.0,3.0,1390,278.0,1697
0,204,1,346,2,415,1.55,1.08,1.7,5.0,8,6,1,4,1.0,4.0,1489,248.16666666666666,2250
0,205,1,187,1,524,1.7,3.33,1.7,3.33,7,5,1,4,1.0,3.0,1306,261.2,2017
0,206,1,352,2,386,1.7,4.33,1.85,5.0,6,4,1,3,1.0,3.0,1360,340.0,2098
0,207,1,74,1,106,2.0,4.33,2.0,4.33,7,5,1,5,1.0,4.0,1564,312.8,1744
0,208,2,36,1,252,1.85,4.08,1.85,5.0,8,6,1,3,2.0,3.0,1714,285.6666666666667,2002
0,209,1,338,1,323,2.0,4.83,2.0,4.83,7,5,1,4,1.0,3.0,1438,287.6,2099
0,210,1,218,1,414,1.4,3.08,1.4,3.08,13,11,1,6,1.0,5.0,3708,337.09090909090907,4340
0,211,1,260,2,149,1.55,3.83,1.85,5.0,8,6,2,4,1.0,3.0,1676,279.3333333333333,2085
