parcode,trial,microfix1,microfix2,microfix1_drop,microfix2_drop,microfix_1_drop_timeavg,microfix_2_drop_timeavg
3,1,5,6,3,4,361.3333333333333,385.25
3,2,10,5,8,3,280.75,271.3333333333333
3,3,5,3,3,2,252.0,437.0
3,4,5,4,3,2,264.0,146.0
3,5,6,6,4,4,614.5,440.25
3,6,0,3,0,2,,209.0
3,7,3,5,1,3,956.0,448.0
3,8,6,8,2,4,456.0,405.25
3,9,9,10,5,7,261.2,404.2857142857143
3,10,3,2,1,1,606.0,226.0
3,11,11,6,9,4,266.44444444444446,286.5
3,12,6,3,4,2,184.0,157.0
3,13,4,6,3,4,275.3333333333333,308.0
3,14,6,12,4,8,292.0,312.25
3,15,5,3,3,2,342.6666666666667,128.0
3,16,4,3,3,2,171.33333333333334,489.0
3,17,4,4,2,3,158.0,284.6666666666667
3,18,2,5,1,3,146.0,255.66666666666666
3,19,3,3,2,2,287.0,238.0
3,20,8,5,6,3,337.3333333333333,302.6666666666667
3,21,3,5,0,3,,251.33333333333334
3,22,5,4,4,3,333.0,331.6666666666667
3,23,4,3,2,2,336.0,425.0
3,24,7,4,5,2,168.8,224.0
3,25,14,10,12,7,333.0,330.85714285714283
3,26,4,8,2,6,371.0,267.3333333333333
3,27,9,6,6,3,225.33333333333334,382.0
3,28,7,11,5,8,213.2,262.0
3,29,4,6,3,4,188.66666666666666,196.0
3,30,8,3,6,2,184.66666666666666,142.0
3,31,4,4,2,3,284.0,234.66666666666666
3,32,7,6,5,4,282.0,425.5
3,33,8,5,6,3,221.33333333333334,257.6666666666667
3,34,3,6,2,4,255.0,165.5
3,35,5,3,3,2,162.66666666666666,224.0
3,36,8,8,5,5,258.0,285.6
3,37,11,7,9,5,239.33333333333334,334.4
3,38,5,3,3,1,162.66666666666666,260.0
3,39,4,2,2,1,208.5,206.0
3,40,9,3,6,2,320.1666666666667,237.0
3,41,3,1,1,0,214.0,
3,42,2,3,0,2,,123.0
3,43,4,2,2,1,125.0,252.0
3,44,2,3,1,2,218.0,282.5
3,45,2,2,0,1,,216.0
3,46,3,6,1,5,168.0,380.8
3,47,4,4,3,3,347.6666666666667,450.6666666666667
3,48,6,10,3,8,252.66666666666666,405.25
3,49,4,7,2,6,194.0,242.66666666666666
3,50,4,2,2,1,213.0,216.0
3,51,3,3,2,2,187.0,301.5
3,52,3,2,2,1,187.0,200.0
3,53,7,5,5,4,189.8,259.0
3,54,6,3,3,2,182.0,256.0
3,55,3,3,2,2,155.0,287.0
3,56,7,7,5,4,463.2,323.5
3,57,5,6,3,4,224.0,387.0
3,58,4,6,3,3,364.0,146.66666666666666
3,59,3,2,1,1,158.0,158.0
3,60,4,2,3,1,172.66666666666666,209.0
3,61,4,5,1,3,228.0,340.0
3,62,4,1,3,0,210.66666666666666,
3,63,3,5,2,4,270.5,186.5
3,64,2,2,1,1,152.0,560.0
3,65,6,9,4,6,373.0,478.6666666666667
3,66,4,5,2,3,197.0,636.6666666666666
3,67,6,3,4,1,177.25,150.0
3,68,4,2,3,0,358.0,
3,69,4,3,3,1,179.33333333333334,272.0
3,70,5,4,3,1,152.33333333333334,288.0
3,71,9,4,7,3,254.71428571428572,352.6666666666667
3,72,4,4,3,2,193.33333333333334,348.0
3,73,14,11,12,8,366.8333333333333,328.75
3,74,4,3,2,2,148.0,192.0
3,75,3,5,2,3,275.0,266.6666666666667
3,76,4,9,2,7,222.0,267.42857142857144
3,77,4,5,3,3,180.66666666666666,301.3333333333333
3,78,3,4,2,2,260.0,187.0
3,79,5,17,2,15,327.5,262.0
3,80,6,1,4,0,185.0,
3,81,3,4,1,2,238.0,486.5
3,82,3,2,2,1,204.0,1144.0
3,83,2,3,1,2,484.0,598.5
3,84,3,3,2,2,296.5,384.0
3,85,3,2,2,1,214.0,303.0
3,86,2,1,0,0,,
3,87,3,3,2,2,225.0,260.0
3,88,6,9,4,6,358.0,300.5
3,89,2,6,1,4,898.0,274.25
3,90,6,8,4,6,236.0,301.8333333333333
3,91,3,2,2,1,251.0,529.0
3,92,7,3,5,2,232.8,190.0
3,93,4,3,2,1,338.0,796.0
3,94,3,4,2,2,256.0,300.5
3,95,4,2,3,1,494.0,392.0
3,96,4,4,3,2,238.66666666666666,168.5
3,97,3,3,2,2,191.0,217.0
3,98,14,25,8,21,288.25,363.04761904761904
3,99,3,5,2,3,276.0,189.33333333333334
3,100,4,12,3,10,242.66666666666666,220.8
3,101,7,7,3,4,231.33333333333334,207.0
3,102,3,5,2,3,271.0,387.6666666666667
3,103,3,3,2,2,436.0,203.0
3,104,3,3,2,2,466.5,436.0
3,105,6,9,4,5,442.5,594.8
3,106,3,6,2,4,329.0,283.75
3,107,6,5,3,2,184.66666666666666,205.0
3,108,5,4,3,2,202.0,282.0
3,109,4,7,3,5,257.3333333333333,246.4
3,110,4,5,3,3,228.66666666666666,146.66666666666666
3,111,5,5,3,2,186.0,147.0
3,112,5,7,3,5,249.33333333333334,375.6
3,113,4,5,3,3,307.3333333333333,446.0
3,114,3,5,2,4,149.0,263.0
3,115,11,8,7,5,304.0,354.4
3,116,2,9,1,7,482.0,274.2857142857143
3,117,4,4,3,3,148.0,279.3333333333333
3,118,3,8,1,6,262.0,199.0
3,119,3,3,2,1,347.0,336.0
3,120,7,3,4,2,238.5,235.0
3,121,3,3,2,2,179.5,218.0
3,122,2,6,1,4,216.0,242.75
3,123,4,4,2,1,256.0,77.0
3,124,4,7,2,4,289.0,202.0
3,125,6,7,4,5,334.0,363.6
3,126,8,8,4,3,340.5,299.3333333333333
3,127,8,4,7,2,332.2857142857143,257.0
3,128,2,2,1,1,237.0,302.0
3,129,3,5,2,3,318.0,194.0
3,130,4,2,3,1,226.33333333333334,460.0
3,131,3,3,2,2,245.5,245.0
3,132,4,4,2,2,418.0,234.0
3,133,4,4,3,2,244.66666666666666,366.5
3,134,2,4,1,2,260.0,178.0
3,135,5,4,3,2,450.6666666666667,198.0
3,136,3,3,2,2,412.5,162.0
3,137,2,4,1,2,432.0,210.0
3,138,5,7,3,4,615.3333333333334,552.5
3,139,3,3,2,1,216.0,274.0
3,140,2,2,1,1,271.0,232.0
3,141,4,3,3,2,218.33333333333334,185.0
3,142,1,2,0,1,,136.0
3,143,2,2,1,1,281.0,232.0
3,144,2,2,1,1,484.0,220.0
3,145,2,2,0,1,,240.0
3,146,3,2,2,1,305.5,224.0
3,147,4,3,3,2,250.33333333333334,189.0
3,148,2,2,1,1,396.0,282.0
